,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,real sallary,predicted sallary
2467,0.85,0.75,4,139,3,0,0,0,sales,low,low
10585,0.79,0.77,3,201,6,1,0,0,support,medium,medium
2105,0.71,0.57,3,209,2,0,0,0,technical,medium,low
6946,0.59,0.75,3,168,3,0,0,0,RandD,medium,medium
11018,0.32,0.86,4,214,5,0,0,0,sales,medium,medium
6723,0.65,0.96,5,226,2,1,0,0,marketing,medium,low
13699,0.7,0.53,3,215,7,1,0,0,technical,medium,medium
7129,0.98,0.74,4,202,3,0,0,0,accounting,low,medium
5483,0.93,0.62,4,142,2,0,0,0,IT,medium,low
12184,0.36,0.55,2,141,3,0,1,0,hr,medium,low
6608,0.78,0.96,4,245,3,0,0,0,support,medium,low
7215,0.5,0.49,4,236,3,0,0,0,technical,medium,low
12741,0.5,0.54,5,153,4,0,1,0,support,low,low
1174,0.09,0.8,6,294,4,0,1,0,hr,low,low
1070,0.78,0.87,5,243,5,0,1,0,technical,low,low
4780,0.88,0.77,4,168,4,0,0,0,support,medium,low
11298,0.7,0.77,4,245,2,0,0,0,sales,low,low
11168,0.17,0.36,6,191,2,0,0,0,product_mng,medium,low
3635,0.61,0.78,3,238,2,0,0,0,support,medium,low
11415,0.69,0.51,3,257,3,1,0,0,IT,low,medium
3113,0.98,0.84,3,286,4,0,0,0,technical,medium,medium
3430,0.74,0.7,3,253,4,1,0,0,RandD,medium,medium
12269,0.38,0.86,6,139,6,0,1,0,technical,medium,low
7917,0.7,0.75,4,204,3,0,0,0,technical,medium,low
11687,0.71,0.78,4,227,2,0,0,0,support,low,low
6616,0.54,0.65,3,147,3,1,0,0,support,low,low
5246,0.67,0.92,4,265,4,0,0,0,technical,medium,medium
7609,0.85,0.75,3,214,3,0,0,0,support,medium,low
8557,0.6,0.77,4,163,3,1,0,0,marketing,low,medium
13873,0.7,0.7,3,162,8,0,0,0,RandD,high,medium
9782,0.51,0.79,3,137,3,0,0,0,sales,medium,low
10949,0.49,0.67,3,140,2,0,0,0,hr,medium,medium
14419,0.44,0.5,2,128,3,0,1,0,support,low,low
13452,0.62,0.79,3,259,3,0,0,0,support,medium,low
7141,0.82,0.52,5,270,3,0,0,0,technical,medium,low
4890,0.24,0.58,5,279,4,0,0,0,marketing,medium,medium
10018,0.77,0.7,4,232,3,0,0,0,sales,medium,low
1335,0.87,0.9,3,307,5,0,1,0,technical,low,low
3878,0.23,0.84,5,140,4,0,0,0,IT,low,medium
2742,0.34,0.87,6,175,4,0,0,0,RandD,low,medium
14922,0.11,0.86,6,286,4,0,1,0,support,low,low
8452,0.91,0.52,3,256,2,0,0,0,support,high,low
3663,0.24,0.7,5,172,4,0,0,0,sales,high,low
9298,0.58,0.49,3,135,2,0,0,0,IT,medium,low
9397,0.49,0.83,3,172,2,0,0,0,sales,medium,low
12820,0.75,0.92,3,211,3,0,0,0,sales,medium,low
12758,0.39,0.54,2,127,3,0,1,0,sales,low,low
12334,0.1,0.81,6,290,4,0,1,0,accounting,medium,low
12002,0.11,0.88,7,272,4,0,1,0,sales,medium,low
14174,0.9,0.48,4,136,7,0,0,0,IT,low,medium
6628,0.49,0.97,4,166,5,0,0,0,product_mng,low,medium
12730,0.43,0.47,2,128,3,0,1,0,technical,medium,low
3975,0.22,0.49,4,218,4,0,0,0,marketing,low,medium
3851,0.26,0.9,4,266,5,0,0,0,technical,medium,medium
9569,0.75,0.71,3,237,3,1,0,0,accounting,low,medium
9416,0.13,0.62,3,264,6,0,0,0,accounting,low,medium
8400,0.83,0.37,5,101,4,1,0,0,support,low,low
982,0.85,0.97,4,266,6,0,1,0,product_mng,low,low
7148,0.33,0.38,4,186,3,0,0,0,support,medium,low
1583,0.73,0.91,4,247,5,0,1,0,support,medium,low
10686,0.62,0.95,4,140,2,0,0,0,accounting,low,low
1168,0.79,0.84,5,245,5,0,1,0,sales,medium,low
12607,0.11,0.88,5,250,4,0,1,0,RandD,medium,low
7213,0.72,0.73,5,211,2,0,0,0,technical,medium,low
3999,0.51,0.95,4,258,3,0,0,0,hr,medium,medium
2231,0.61,0.84,5,104,4,0,0,0,sales,low,low
9391,0.62,0.63,5,153,6,0,0,0,technical,medium,medium
12137,0.42,0.48,2,129,3,0,1,0,management,low,low
10878,1.0,0.88,6,201,4,0,0,0,technical,low,medium
10168,0.89,0.66,4,176,3,0,0,0,sales,high,low
14612,0.76,0.92,4,246,5,0,1,0,sales,low,low
1941,0.81,0.85,4,251,6,0,1,0,hr,medium,low
4088,0.79,0.67,4,152,3,0,0,0,technical,medium,low
5468,0.52,0.49,4,98,3,0,0,0,support,medium,low
4259,0.55,0.72,3,149,3,0,0,0,management,low,high
2530,0.49,0.8,2,275,2,0,0,0,sales,low,low
5453,0.51,0.88,3,202,4,0,0,0,hr,low,medium
2092,0.2,0.58,3,209,5,0,0,0,hr,medium,medium
11198,0.56,0.87,3,146,10,0,0,0,sales,low,medium
8503,0.76,1.0,5,265,2,0,0,0,accounting,low,low
6944,0.87,0.48,4,133,2,0,0,0,RandD,medium,medium
13461,0.5,0.77,3,265,3,0,0,0,IT,medium,medium
8436,0.65,0.64,5,206,3,0,0,0,technical,low,low
14185,0.82,0.58,5,263,8,0,0,0,IT,medium,medium
12305,0.45,0.47,2,135,3,0,1,0,RandD,medium,low
7769,0.73,0.69,3,175,2,0,0,0,IT,medium,low
7974,0.64,0.99,3,167,2,0,0,0,technical,low,low
3665,0.91,0.53,3,147,4,1,0,0,support,high,low
14098,0.96,0.59,3,241,3,0,0,0,product_mng,low,low
4100,0.66,0.73,3,244,3,0,0,0,support,medium,low
4271,0.52,0.86,5,168,3,0,0,0,RandD,medium,medium
1504,0.86,0.91,5,245,5,0,1,0,support,medium,low
14916,0.76,0.87,5,262,5,0,1,0,support,low,low
7719,0.75,0.48,3,250,5,0,0,0,sales,medium,medium
11900,0.83,0.57,2,222,2,0,0,0,sales,medium,low
11076,0.59,0.48,3,197,3,0,0,0,product_mng,medium,low
8689,0.61,0.7,4,175,3,1,0,0,IT,medium,low
13135,0.92,0.67,2,252,2,0,0,0,sales,low,low
2435,0.21,0.7,6,130,6,1,0,0,RandD,low,medium
438,0.77,0.9,4,237,5,0,1,0,support,low,low
4593,0.8,0.58,4,238,2,0,0,0,sales,high,low
13057,0.48,0.51,3,136,3,0,0,0,marketing,low,medium
